City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,plymouth,41.8334,-70.8328,285.41,82,100,5.66,US,1684993490
83,patterson,37.4716,-121.1297,291.12,63,2,1.67,US,1684993490
84,howard springs,-12.497,131.047,303.1,58,40,4.7,AU,1684993490
85,aasiaat,68.7098,-52.8699,266.93,86,100,3.32,GL,1684993490
86,bechar,31.6167,-2.2167,292.33,39,0,4.12,DZ,1684993265
87,stanley,54.868,-1.6985,283.65,93,20,1.54,GB,1684993491
88,sisimiut,66.9395,-53.6735,271.6,69,88,3.3,GL,1684993491
89,remire-montjoly,4.9167,-52.2667,297.17,100,100,1.03,GF,1684993491
90,niamey,13.5137,2.1098,303.31,51,0,3.09,NE,1684993491
91,zaysan,47.4667,84.8667,294.85,30,6,8.86,KZ,1684993299
92,ribeira grande,38.5167,-28.7,289.14,79,8,2.68,PT,1684993492
93,biltine,14.5333,20.9167,307.11,26,21,2.86,TD,1684993492
94,avarua,-21.2078,-159.775,298.18,83,54,4.12,CK,1684993492
95,taoudenni,22.6783,-3.9836,299.43,35,100,2.42,ML,1684993492
96,egilsstadir,65.2653,-14.3948,279.1,52,40,5.66,IS,1684993493
97,sandnessjoen,66.0217,12.6316,278.44,83,75,7.72,NO,1684993493
98,margaret river,-33.95,115.0667,289.2,50,52,5.19,AU,1684993493
99,kromy,52.6876,35.7667,291.56,77,100,3.86,RU,1684993493
100,zapolyarnyy,69.4154,30.8136,283.75,46,99,10.06,RU,1684993493
101,sao felix do xingu,-6.6447,-51.995,294.92,92,97,1.43,BR,1684993491
102,santa ana,33.7456,-117.8678,290.37,77,100,3.09,US,1684993494
103,itamaraca,-7.7478,-34.8256,297.18,86,14,2.89,BR,1684993494
104,laguna,38.421,-121.4238,290.62,77,0,5.14,US,1684993494
105,queenstown,-31.8976,26.8753,287.46,31,96,3.71,ZA,1684993495
106,qarazhal,48.0078,70.7903,295.98,27,15,4.89,KZ,1684993495
107,lompoc,34.6391,-120.4579,286.77,89,100,3.09,US,1684993390
108,ad douiem,14.0012,32.3116,308.5,27,5,3.43,SD,1684993496
109,bangassou,4.7413,22.8184,298.43,69,55,1.36,CF,1684993496
110,papatowai,-46.5619,169.4708,286.52,68,98,4.62,NZ,1684993496
111,mutoko,-17.397,32.2268,290.71,61,0,1.06,ZW,1684993496
112,fale old settlement,-9.3852,-171.2468,301.57,70,56,0.87,TK,1684993496
113,chernyshevskiy,63.0128,112.4714,280.89,55,100,4.49,RU,1684993497
114,hithadhoo,-0.6,73.0833,302.12,73,94,5.49,MV,1684993497
115,west island,-12.1568,96.8225,300.14,83,75,12.35,CC,1684993497
116,rongelap,11.1635,166.8941,301.08,78,97,6.53,MH,1684993497
117,arkalyk,50.2486,66.9114,297.58,23,0,4.39,KZ,1684993497
118,chumphon,10.3333,98.8333,305.56,48,80,4.37,TH,1684993498
119,turpan,42.9333,89.1667,305.16,10,17,1.83,CN,1684993498
120,sinop,41.7711,34.8709,286.39,76,4,1.75,TR,1684993330
121,zheleznodorozhnyy,55.7503,38.0042,291.53,84,100,1.48,RU,1684993498
122,borogontsy,62.6683,131.1683,285.3,40,89,2.7,RU,1684993499
123,chul'man,56.8479,124.9104,285.32,43,70,3.21,RU,1684993499
124,coquimbo,-29.9533,-71.3436,285.0,93,0,1.54,CL,1684993499
125,cavnic,47.6667,23.8667,284.7,68,41,1.08,RO,1684993499
126,st. john's,47.5649,-52.7093,277.02,85,0,3.6,CA,1684993499
127,charters towers,-20.1,146.2667,298.18,46,21,7.91,AU,1684993500
128,port elizabeth,-33.918,25.5701,289.99,86,0,3.6,ZA,1684993456
129,dudinka,69.4058,86.1778,274.05,96,100,3.54,RU,1684993500
130,kerikeri,-35.2268,173.9474,288.1,78,7,4.64,NZ,1684993500
